,std_dt,symbol,issues_suspended_from_trading_reason
182,20031028,A000540,
183,19991228,A000550,
184,19991228,A000570,
185,19991228,A000590,
186,20091229,A000590,"주식의 병합, 분할 등 전자등록 변경, 말소"
187,20100127,A000590,
188,19991228,A000600,
189,19991228,A000610,
190,20091224,A000610,"주식의 병합, 분할 등 전자등록 변경, 말소"
191,20100120,A000610,
192,19991228,A000640,
193,20130227,A000640,"주식의 병합, 분할 등 전자등록 변경, 말소"
194,20130408,A000640,
195,20170816,A000640,풍문등관련주가및거래량급변
196,20170817,A000640,기타공익과투자자보호및시장관리상
197,20170904,A000640,
198,19991228,A000650,
199,20050704,A000650,사유미상
200,20050705,A000650,
201,19991228,A000660,
202,20030327,A000660,사유미상
203,20030414,A000660,
204,19991228,A000670,
205,19991228,A000680,
206,20000502,A000680,사유미상
207,20000601,A000680,
208,20050325,A000680,사유미상
209,20070625,A000680,
210,20100413,A000680,"주식의 병합, 분할 등 전자등록 변경, 말소"
211,20100511,A000680,
212,19991228,A000700,
213,20091127,A000700,"주식의 병합, 분할 등 전자등록 변경, 말소"
214,20091229,A000700,
215,20140529,A000700,"주식의 병합, 분할 등 전자등록 변경, 말소"
216,20140620,A000700,
217,20141204,A000700,"주식의 병합, 분할 등 전자등록 변경, 말소"
218,20141224,A000700,
219,19991228,A000720,
220,20000329,A000720,사유미상
221,20000330,A000720,
222,20010402,A000720,사유미상
223,20010403,A000720,
224,20010619,A000720,사유미상
225,20010706,A000720,
226,20031229,A000720,사유미상
227,20040113,A000720,
228,19991228,A000730,
229,19991228,A000760,
230,20040604,A000760,사유미상
231,20040607,A000760,
232,20140423,A000760,단기과열 지정
233,20140424,A000760,
234,19991228,A000810,
235,19991228,A000830,
236,20150827,A000830,"주식의 병합, 분할 등 전자등록 변경, 말소"
237,20150915,A000830,
238,19991228,A000840,
239,20000426,A000840,사유미상
240,20000609,A000840,
241,19991228,A000850,
242,19991228,A000860,
243,20040427,A000860,사유미상
244,20040503,A000860,
245,19991228,A000870,
246,19991228,A000880,
247,20120206,A000880,기타공익과투자자보호및시장관리상
248,20120207,A000880,
249,20120224,A000880,불성실공시법인지정
250,20120227,A000880,
251,19991228,A000890,
252,20110831,A000890,기타공익과투자자보호및시장관리상
253,20111027,A000890,
254,20111223,A000890,"주식의 병합, 분할 등 전자등록 변경, 말소"
255,20120105,A000890,
256,19991228,A000900,
257,20000224,A000900,사유미상
258,20000225,A000900,
259,20000314,A000900,사유미상
260,20000412,A000900,
261,19991228,A000910,
262,20040422,A000910,사유미상
263,20040423,A000910,
264,19991228,A000930,
265,19991228,A000950,
266,20040102,A000950,사유미상
267,20040105,A000950,
268,20140812,A000950,단기과열 지정
269,20140813,A000950,
270,19991228,A000970,
271,20000629,A000970,사유미상
272,20000703,A000970,
273,20150212,A000970,단기과열 지정
274,20150213,A000970,
275,19991228,A000990,
276,19991228,A001000,
