,std_dt,ticker,company_name
0,19991228,A000010,조흥은행
1,19991228,A000020,동화약품
2,19991228,A000030,한빛은행
3,20141119,A000030,우리은행
4,19991228,A000040,효성기계
5,20070418,A000040,S&T모터스
6,20140418,A000040,KR모터스
7,19991228,A000050,경    방
8,20000419,A000050,경방
9,19991228,A000060,동양화재
10,20051024,A000060,메리츠화재
11,19991228,A000070,삼 양 사
12,20000419,A000070,삼양사
13,20111205,A000070,삼양홀딩스
14,19991228,A000080,진    로
15,20000419,A000080,진로
16,20091019,A000080,진로
17,20110926,A000080,하이트진로
18,19991228,A000100,유한양행
19,19991228,A000110,제일은행
20,19991228,A000120,대한통운
21,20120427,A000120,CJ대한통운
22,19991228,A000140,하이트맥주
23,20080730,A000140,하이트홀딩스
24,20120410,A000140,하이트진로홀딩스
25,19991228,A000150,두산
26,19991228,A000180,성창기업
27,20090121,A000180,성창기업지주
28,19991228,A000200,대우중공업
29,19991228,A000210,대림산업
30,19991228,A000220,유유산업
31,20020620,A000220,유유
32,20080625,A000220,유유제약
33,19991228,A000230,일동제약
34,20160831,A000230,일동홀딩스
35,19991228,A000240,한국타이어
36,20121004,A000240,한국타이어월드와이드
37,20190522,A000240,한국테크놀로지그룹
38,20001004,A000250,삼천당제약
39,19991228,A000270,기 아 차
40,20000419,A000270,기아차
41,19991228,A000280,동아건설
42,19991228,A000300,두레에어
43,20050415,A000300,성용HM
44,20060321,A000300,대유엠텍
45,20060707,A000300,엠앤에스
46,20080715,A000300,대유신소재
47,20161014,A000300,대유플러스
48,19991228,A000310,해태제과
49,19991228,A000320,대한페인트
50,20001114,A000320,디피아이
51,20060623,A000320,디피아이홀딩스
52,20100413,A000320,노루홀딩스
53,19991228,A000360,삼환기업
54,19991228,A000370,신동아화재
55,20070116,A000370,한화손해보험
56,19991228,A000380,대아건설
57,19991228,A000390,삼화페인트
58,19991228,A000400,대한화재
59,20080320,A000400,롯데손해보험
60,19991228,A000420,로케트전기
61,19991228,A000430,대원강업
62,19991228,A000440,중앙석유
63,20031222,A000440,중앙에너비스
64,19991228,A000470,국제화재
65,20020416,A000470,그린화재보험
66,20080704,A000470,그린손해보험
67,19991228,A000480,조선내화
68,19991228,A000490,대동공업
69,19991228,A000500,희성전선
70,20040909,A000500,가온전선
71,19991228,A000520,삼일제약
72,19991228,A000540,쌍용화재
73,20060627,A000540,흥국쌍용화재
74,20090324,A000540,흥국화재
75,19991228,A000590,조선선재
76,20100127,A000590,CS홀딩스
77,19991228,A000610,제일화재
78,19991228,A000640,동아제약
79,20130408,A000640,동아쏘시오홀딩스
80,19991228,A000650,천일고속
81,19991228,A000660,현대전자
82,20010420,A000660,하이닉스
83,20120417,A000660,SK하이닉스
84,19991228,A000670,영    풍
85,20000419,A000670,영풍
86,19991228,A000680,국제상사
87,20080221,A000680,LS네트웍스
88,19991228,A000700,한진해운
89,20091229,A000700,한진해운홀딩스
90,20141224,A000700,유수홀딩스
91,19991228,A000720,현대건설
92,19991228,A000760,이화산업
93,19991228,A000790,세양선박
94,20060818,A000790,C&상선
95,19991228,A000800,경남기업
96,19991228,A000810,삼성화재
97,19991228,A000830,삼성물산
98,19991228,A000840,한국벨트
99,19991228,A000850,화천기공
100,19991228,A000860,건설화학
101,20160113,A000860,강남제비스코
102,19991228,A000880,한    화
103,20000419,A000880,한화
104,19991228,A000890,보해양조
105,19991228,A000900,강원산업
106,19991228,A000910,유 니 온
107,20000419,A000910,유니온
108,19991228,A000950,전    방
109,20000419,A000950,전방
110,19991228,A000970,한국주철관
111,19991228,A000980,극동건설
112,19991228,A000990,동부한농
113,20070521,A000990,동부하이텍
114,20171120,A000990,DB하이텍
115,19991228,A001000,신라섬유
116,19991228,A001020,세    풍
117,20000419,A001020,세풍
118,20030429,A001020,페이퍼코리아
119,19991228,A001030,해동화재
120,20000808,A001030,리젠트화재
121,19991228,A001040,제일제당
122,20021104,A001040,CJ
123,19991228,A001060,중외제약
124,20110421,A001060,JW중외제약
125,19991228,A001070,대한방직
126,19991228,A001080,만호제강
127,19991228,A001110,대    농
128,20000419,A001110,대농
129,19991228,A001120,LG상사
130,19991228,A001130,대한제분
131,19991228,A001140,국    보
132,20000419,A001140,국보
133,20190806,A001140,카리스국보
134,20200217,A001140,국보
135,19991228,A001150,서    통
136,20000419,A001150,서통
137,19991228,A001190,대유통상
138,20000327,A001190,대유
139,20070730,A001190,마이크로닉스
140,19991228,A001200,서울증권
141,20080125,A001200,유진증권
142,20080128,A001200,유진투자증권
143,19991228,A001210,금호전기
144,19991228,A001230,동국제강
145,19991228,A001250,쌍    용
146,20000419,A001250,쌍용
147,20090810,A001250,GS글로벌
148,19991228,A001260,남광토건
149,19991228,A001270,부국증권
150,19991228,A001280,한빛증권
151,20020627,A001280,우리증권
152,19991228,A001290,대유리젠트증권
153,20000818,A001290,리젠트증권
154,20020206,A001290,브릿지증권
155,20071010,A001290,골든브릿지증권
156,20190416,A001290,상상인증권
157,19991228,A001300,제일모직
158,19991228,A001310,풍림산업
159,19991228,A001340,백광산업
160,19991228,A001350,대한모방
161,19991228,A001360,삼성제약
162,19991228,A001370,코오롱상사
163,20011224,A001370,FNC코오롱
164,20020110,A001370,FnC코오롱
165,19991228,A001380,충남방적
166,20080415,A001380,에스지글로벌
167,20080731,A001380,SG글로벌
168,20100513,A001380,SG충남방적
169,20160420,A001380,SG충방
170,19991228,A001390,경기화학
171,20030926,A001390,KG케미칼
172,19991228,A001400,동산씨앤지
173,19991228,A001420,태원물산
174,19991228,A001430,기아특수강
175,20040330,A001430,세아베스틸
176,19991228,A001440,대한전선
177,19991228,A001450,현대해상
178,19991228,A001460,비와이씨
179,20000616,A001460,BYC
180,19991228,A001470,삼부토건
181,19991228,A001490,천지산업
182,19991228,A001500,신흥증권
183,20080407,A001500,현대차IB증권
184,20080609,A001500,HMC투자증권
185,20170714,A001500,현대차투자증권
186,20180713,A001500,현대차증권
187,19991228,A001510,SK증권
188,19991228,A001520,동양시멘트
189,20000703,A001520,동양메이저
190,20110809,A001520,동양
191,19991228,A001530,동일방직
192,20190424,A001530,DI동일
193,20000615,A001540,안국약품
194,19991228,A001550,조    비
195,20000419,A001550,조비
196,20051209,A001560,제일연마
197,19991228,A001570,금    양
198,20000419,A001570,금양
199,19991228,A001580,신광기업
200,19991228,A001590,일화모직
201,19991228,A001600,서광건설
202,19991228,A001620,동국실업
203,20190422,A001620,케이비아이동국실업
204,19991228,A001630,종 근 당
205,20000419,A001630,종근당
206,20131206,A001630,종근당홀딩스
207,19991228,A001670,경남모직
208,19991228,A001680,대상
209,19991228,A001690,두산포장
210,20000421,A001690,두산테크팩
211,19991228,A001720,신영증권
212,19991228,A001740,SK상사
213,20000620,A001740,SK글로벌
214,20030919,A001740,SK네트웍스
215,19991228,A001750,한양증권
216,19991228,A001770,신화실업
217,19991228,A001780,동양강철
218,20070607,A001780,동양강철
219,20150417,A001780,알루코
220,19991228,A001790,대한제당
221,19991228,A001800,동양제과
222,20030901,A001800,오리온
223,20170707,A001800,오리온홀딩스
224,20000104,A001810,무림제지
225,20060810,A001810,무림SP
226,19991228,A001820,삼화콘덴서
227,19991228,A001830,아남반도체
228,20041228,A001830,동부아남반도체
229,20060417,A001830,동부일렉트로닉스
230,19991228,A001840,이화공영
231,19991228,A001850,임광토건
232,19991228,A001880,삼    호
233,20000419,A001880,삼호
234,20200709,A001880,대림건설
235,19991228,A001890,영창악기
236,19991228,A001920,한보철강
237,19991228,A001940,한국철강
238,20080929,A001940,KISCO홀딩스
239,19991228,A001950,남한제지
240,19991228,A001970,신    성
241,20000419,A001970,신성
242,20030326,A001970,신성건설
243,19991228,A001980,대    호
244,20000419,A001980,대호
245,19991228,A002000,한국유리
246,19991228,A002020,코 오 롱
247,20000419,A002020,코오롱
248,19991228,A002030,아세아시멘트
249,20131106,A002030,아세아
250,19991228,A002050,경향건설
251,19991228,A002070,비 비 안
252,20000419,A002070,비비안
253,20030922,A002070,남영L&F
254,20090416,A002070,남영비비안
255,20200804,A002070,비비안
256,19991228,A002080,벽산개발
257,19991228,A002100,경    농
258,20000419,A002100,경농
259,19991228,A002130,피어리스
260,19991228,A002140,고려산업
261,20100812,A002150,도화
262,20110412,A002150,도화엔지니어링
263,19991228,A002170,삼양통상
264,19991228,A002180,삼익건설
265,19991228,A002200,수출포장
266,20200601,A002200,한국수출포장
267,19991228,A002210,동성제약
268,19991228,A002220,한일철강
269,19991228,A002230,피에스텍
270,19991228,A002240,고려제강
271,19991228,A002250,근화제약
272,20150619,A002250,알보젠코리아
273,19991228,A002270,롯데삼강
274,20130418,A002270,롯데푸드
275,19991228,A002290,삼일기업공사
276,19991228,A002300,한국제지
277,19991228,A002310,아세아제지
278,19991228,A002320,한    진
279,20000419,A002320,한진
280,19991228,A002350,우성타이어
281,20000317,A002350,넥센타이어
282,19991228,A002360,신호유화
283,20051024,A002360,SH케미칼
284,20080516,A002360,SH에너지화학
285,19991228,A002380,금    강
286,20000417,A002380,금강고려
287,20050314,A002380,KCC
288,19991228,A002390,한독약품
289,20130726,A002390,한독
290,19991228,A002410,범양건영
291,19991228,A002420,세기상사
292,19991228,A002450,삼익악기
293,19991228,A002460,화성산업
294,19991228,A002470,동    성
295,20000419,A002470,동성
296,19991228,A002480,범양사
297,19991228,A002530,벽산건설
298,19991228,A002540,고    제
299,20000419,A002540,고제
300,20040416,A002540,현대페스
301,20051114,A002540,고제
302,20070418,A002540,세안
303,20080904,A002540,메이드
304,20090210,A002540,고제
305,19991228,A002550,LG화재
306,20060420,A002550,LIG손해보험
307,20150722,A002550,KB손해보험
308,19991228,A002580,삼    미
309,20000419,A002580,삼미
310,19991228,A002600,조흥화학
311,20041007,A002600,조흥
312,19991228,A002610,LG전자
313,20020422,A002610,LGEI
314,19991228,A002620,제일약품
315,20170717,A002620,제일파마홀딩스
316,19991228,A002630,오리엔트
317,20050819,A002630,오리엔트바이오
318,19991228,A002670,미주제강
319,19991228,A002680,영남제분
320,20150421,A002680,한탑
321,20150924,A002690,동일제강
322,19991228,A002700,신일산업
323,20200421,A002700,신일전자
324,19991228,A002710,동양석판
325,20100405,A002710,TCC동양
326,20190424,A002710,TCC스틸
327,19991228,A002720,국제약품
328,19991228,A002740,동양화학
329,19991228,A002760,보    락
330,20000419,A002760,보락
331,19991228,A002780,진흥기업
332,19991228,A002790,태 평 양
333,20000419,A002790,태평양
334,20110420,A002790,아모레G
335,20170228,A002800,신신제약
336,19991228,A002810,삼영무역
337,19991228,A002820,선창산업
338,19991228,A002840,미원상사
339,19991228,A002850,영풍산업
340,19991228,A002860,서울은행
341,20021213,A002860,하나은행
342,19991228,A002870,신풍제지
343,19991228,A002880,중앙염색
344,20020506,A002880,중앙디지텍
345,20031215,A002880,대유디엠씨
346,20100722,A002880,대유에이텍
347,19991228,A002900,동양물산
348,19991228,A002920,유성기업
