,std_dt,symbol,issued_sh
199,20110117,A000100,11152546
200,20170123,A000100,11665896
201,20180122,A000100,12209354
202,20190122,A000100,12777115
203,20200122,A000100,13371362
204,20200408,A000100,66856810
205,19991228,A000110,320000000
206,20050422,A000110,0
207,19991228,A000120,24400000
208,20000519,A000120,34400000
209,20010803,A000120,5524754
210,20011019,A000120,7634691
211,20020125,A000120,8084701
212,20020218,A000120,8492141
213,20020308,A000120,9696267
214,20020510,A000120,9721003
215,20020607,A000120,9983693
216,20020705,A000120,10221193
217,20020813,A000120,10257924
218,20020906,A000120,10326674
219,20040514,A000120,10337874
220,20041110,A000120,10981874
221,20041210,A000120,11052612
222,20050411,A000120,11058862
223,20060615,A000120,15910832
224,20060822,A000120,15933656
225,20060922,A000120,15979740
226,20070315,A000120,15989654
227,20080314,A000120,16134654
228,20080321,A000120,40134654
229,20080916,A000120,40176724
230,20090515,A000120,22812344
231,19991228,A000140,10577979
232,20000111,A000140,12136390
233,20001108,A000140,12198264
234,20010608,A000140,12236339
235,20010724,A000140,18174953
236,20010919,A000140,18184472
237,20011109,A000140,18198750
238,20011207,A000140,18213028
239,20020402,A000140,18479567
240,20020521,A000140,19197208
241,20070112,A000140,21197208
242,20080730,A000140,11828042
243,20090818,A000140,23206765
244,19991228,A000150,16519789
245,20000721,A000150,17211939
246,20010622,A000150,17282330
247,20010628,A000150,17324564
248,20010629,A000150,17465344
249,20010703,A000150,17525176
250,20010705,A000150,17613164
251,20020118,A000150,20994807
252,20020315,A000150,21073344
253,20020409,A000150,21112613
254,20021227,A000150,21115152
255,20031219,A000150,21183106
256,20031229,A000150,21217083
257,20040102,A000150,21251060
258,20040112,A000150,21253608
259,20040115,A000150,21287585
260,20040128,A000150,21338549
261,20040506,A000150,21347043
262,20040608,A000150,21352139
263,20041006,A000150,21403104
264,20041027,A000150,21462563
265,20041105,A000150,21539011
266,20041118,A000150,21640941
267,20041124,A000150,21717388
268,20041202,A000150,21742870
269,20041209,A000150,21776847
270,20041210,A000150,21836306
271,20041217,A000150,22023179
272,20041228,A000150,22150593
273,20050204,A000150,22176075
274,20050225,A000150,22177773
275,20050311,A000150,22288197
276,20050323,A000150,22323872
277,20050401,A000150,22332366
278,20050517,A000150,22434297
279,20050714,A000150,22468274
280,20050728,A000150,22537926
281,20050811,A000150,22724799
282,20050812,A000150,22760543
283,20050902,A000150,22763091
284,20050916,A000150,22774982
285,20051014,A000150,22782625
286,20051130,A000150,22980539
287,20051208,A000150,23678767
288,20051226,A000150,23695755
289,20060118,A000150,23755214
290,20060227,A000150,23772202
291,20060315,A000150,23823167
292,20060523,A000150,23833437
293,20060623,A000150,23835985
294,20061017,A000150,23852973
295,20061121,A000150,23869961
296,20070522,A000150,24177511
297,20070612,A000150,24186854
298,20070723,A000150,24224354
299,20070920,A000150,24230354
300,20071121,A000150,24242104
301,20080121,A000150,24244904
302,20080307,A000150,24261892
303,20080422,A000150,24706192
304,20080624,A000150,24717592
305,20080821,A000150,24731792
306,20081223,A000150,24732792
307,20090224,A000150,24735592
308,20090421,A000150,24789392
309,20090623,A000150,24825392
310,20090821,A000150,24836392
311,20091021,A000150,24846492
312,20091221,A000150,24875992
313,20100421,A000150,24910992
314,20100621,A000150,24925692
315,20100727,A000150,25042611
316,20110221,A000150,25073211
317,20110421,A000150,25081111
318,20110621,A000150,25087111
319,20110822,A000150,25089211
320,20120214,A000150,24789211
321,20120420,A000150,24793161
322,20120515,A000150,20720183
323,20120621,A000150,20720733
324,20121022,A000150,20727033
325,20121129,A000150,20858821
326,20130422,A000150,20874421
327,20130621,A000150,20880321
328,20130821,A000150,20880921
329,20131021,A000150,20882071
330,20140421,A000150,20883171
331,20140620,A000150,20885121
332,20141030,A000150,21269988
333,20141222,A000150,21270888
334,20170102,A000150,20206888
335,20170421,A000150,20207688
336,20171120,A000150,19197303
337,20171221,A000150,19198003
338,20181123,A000150,18238102
339,20191018,A000150,16523835
340,19991228,A000180,3000000
341,20011018,A000180,6000000
342,20130424,A000180,5775160
343,20151230,A000180,6975160
344,20160511,A000180,69751600
345,19991228,A000200,357390746
346,20010202,A000200,269386352
347,20010523,A000200,0
348,19991228,A000210,50791973
349,20000417,A000210,53232550
350,20011004,A000210,39500000
351,20040209,A000210,35800000
352,20041110,A000210,34800000
353,19991228,A000220,787478
354,20000620,A000220,847073
355,20010404,A000220,1065453
356,20010621,A000220,1126808
357,20020403,A000220,1241658
358,20040823,A000220,1166290
359,20060208,A000220,5831450
360,20140923,A000220,5984918
361,20150422,A000220,6100019
362,20151130,A000220,6161406
363,20171214,A000220,6368587
364,20200805,A000220,6753200
365,20200810,A000220,6838670
366,20200818,A000220,6902772
367,20200916,A000220,7095078
368,20201016,A000220,7137813
369,20201209,A000220,7992512
370,19991228,A000230,3125682
371,20000918,A000230,3138502
372,20010323,A000230,3305166
373,20010907,A000230,3452597
374,20010917,A000230,3478237
375,20011105,A000230,3491057
376,20011206,A000230,3503877
