,std_dt,symbol,currency
199,19991228,A002920,KRW
200,19991228,A002930,KRW
201,19991228,A002940,KRW
202,19991228,A002950,KRW
203,19991228,A002960,KRW
204,19991228,A002990,KRW
205,19991228,A003000,KRW
206,19991228,A003010,KRW
207,19991228,A003020,KRW
208,19991228,A003030,KRW
209,19991228,A003040,KRW
210,19991228,A003050,KRW
211,19991228,A003060,KRW
212,19991228,A003070,KRW
213,19991228,A003080,KRW
214,19991228,A003090,KRW
215,19991228,A003100,KRW
216,19991228,A003110,KRW
217,19991228,A003120,KRW
218,19991228,A003160,KRW
219,19991228,A003190,KRW
220,19991228,A003200,KRW
221,19991228,A003220,KRW
222,19991228,A003230,KRW
223,19991228,A003240,KRW
224,19991228,A003260,KRW
225,19991228,A003280,KRW
226,19991228,A003300,KRW
227,19991228,A003310,KRW
228,19991228,A003320,KRW
229,19991228,A003330,KRW
230,19991228,A003350,KRW
231,19991228,A003380,KRW
232,20170630,A003380,KRW
233,19991228,A003410,KRW
234,19991228,A003430,KRW
235,19991228,A003450,KRW
236,19991228,A003460,KRW
237,19991228,A003470,KRW
238,19991228,A003480,KRW
239,19991228,A003490,KRW
240,19991228,A003520,KRW
241,19991228,A003530,KRW
242,19991228,A003540,KRW
243,19991228,A003550,KRW
244,19991228,A003560,KRW
245,19991228,A003570,KRW
246,19991228,A003580,KRW
247,19991228,A003590,KRW
248,19991228,A003600,KRW
249,19991228,A003610,KRW
250,19991228,A003620,KRW
251,19991228,A003640,KRW
252,19991228,A003650,KRW
253,19991228,A003660,KRW
254,20011101,A003670,KRW
255,19991228,A003680,KRW
256,19991228,A003690,KRW
257,19991228,A003720,KRW
258,19991228,A003780,KRW
259,19991228,A003800,KRW
260,19991228,A003810,KRW
261,19991228,A003830,KRW
262,19991228,A003850,KRW
263,19991228,A003900,KRW
264,19991228,A003920,KRW
265,19991228,A003930,KRW
266,19991228,A003940,KRW
267,19991228,A003960,KRW
268,19991228,A003980,KRW
269,19991228,A003990,KRW
270,19991228,A004000,KRW
271,19991228,A004010,KRW
272,19991228,A004020,KRW
273,19991228,A004060,KRW
274,19991228,A004080,KRW
275,19991228,A004090,KRW
276,19991228,A004100,KRW
277,19991228,A004110,KRW
278,19991228,A004130,KRW
279,19991228,A004140,KRW
280,19991228,A004150,KRW
281,19991228,A004170,KRW
282,19991228,A004190,KRW
283,19991228,A004200,KRW
284,19991228,A004230,KRW
285,19991228,A004250,KRW
286,19991228,A004270,KRW
287,19991228,A004290,KRW
288,19991228,A004310,KRW
289,19991228,A004320,KRW
290,19991228,A004360,KRW
291,19991228,A004370,KRW
292,19991228,A004380,KRW
293,19991228,A004390,KRW
294,19991228,A004410,KRW
295,19991228,A004420,KRW
296,19991228,A004430,KRW
297,20160330,A004440,KRW
298,19991228,A004450,KRW
299,19991228,A004460,KRW
300,19991228,A004490,KRW
301,19991228,A004510,KRW
302,19991228,A004530,KRW
303,19991228,A004540,KRW
304,19991228,A004550,KRW
305,19991228,A004560,KRW
306,19991228,A004590,KRW
307,19991228,A004620,KRW
308,20140730,A004650,KRW
309,19991228,A004660,KRW
310,19991228,A004690,KRW
311,19991228,A004700,KRW
312,19991228,A004710,KRW
313,19991228,A004720,KRW
314,19991228,A004730,KRW
315,19991228,A004740,KRW
316,19991228,A004770,KRW
317,19991228,A004780,KRW
318,19991228,A004790,KRW
319,19991228,A004800,KRW
320,19991228,A004820,KRW
321,19991228,A004830,KRW
322,19991228,A004840,KRW
323,19991228,A004870,KRW
324,20050630,A004890,KRW
325,19991228,A004910,KRW
326,19991228,A004920,KRW
327,19991228,A004940,KRW
328,19991228,A004960,KRW
329,19991228,A004970,KRW
330,19991228,A004980,KRW
331,19991228,A004990,KRW
332,19991228,A005010,KRW
333,19991228,A005030,KRW
334,19991228,A005060,KRW
335,19991228,A005070,KRW
336,19991228,A005090,KRW
337,19991228,A005110,KRW
338,19991228,A005160,KRW
339,19991228,A005180,KRW
340,19991228,A005190,KRW
341,19991228,A005250,KRW
342,19991228,A005270,KRW
343,19991228,A005280,KRW
344,19991228,A005290,KRW
345,19991228,A005300,KRW
346,19991228,A005320,KRW
347,19991228,A005330,KRW
348,19991228,A005350,KRW
349,19991228,A005360,KRW
350,19991228,A005370,KRW
351,19991228,A005380,KRW
352,19991228,A005390,KRW
353,19991228,A005410,KRW
354,19991228,A005420,KRW
355,19991228,A005430,KRW
356,19991228,A005440,KRW
357,19991228,A005450,KRW
358,19991228,A005490,KRW
359,19991228,A005500,KRW
360,19991228,A005560,KRW
361,20071112,A005560,KRW
362,19991228,A005580,KRW
363,19991228,A005600,KRW
364,19991228,A005610,KRW
365,19991228,A005620,KRW
366,19991228,A005670,KRW
367,19991228,A005680,KRW
368,19991228,A005690,KRW
369,19991228,A005710,KRW
370,19991228,A005720,KRW
371,19991228,A005740,KRW
372,19991228,A005750,KRW
373,19991228,A005760,KRW
374,19991228,A005770,KRW
375,19991228,A005790,KRW
376,19991228,A005800,KRW
377,19991228,A005810,KRW
378,19991228,A005820,KRW
379,19991228,A005830,KRW
380,19991228,A005850,KRW
381,19991228,A005860,KRW
382,19991228,A005870,KRW
383,19991228,A005880,KRW
384,19991228,A005890,KRW
385,19991228,A005900,KRW
386,19991228,A005930,KRW
387,19991228,A005940,KRW
388,19991228,A005950,KRW
389,19991228,A005960,KRW
390,19991228,A005980,KRW
391,19991228,A005990,KRW
392,19991228,A006000,KRW
393,19991228,A006040,KRW
394,19991228,A006050,KRW
395,19991228,A006060,KRW
396,19991228,A006070,KRW
397,19991228,A006090,KRW
398,19991228,A006110,KRW
399,19991228,A006120,KRW
400,19991228,A006140,KRW
401,19991228,A006150,KRW
402,19991228,A006160,KRW
403,19991228,A006200,KRW
404,19991228,A006210,KRW
405,19991228,A006220,KRW
406,19991228,A006250,KRW
407,19991228,A006260,KRW
408,19991228,A006280,KRW
409,19991228,A006290,KRW
410,19991228,A006300,KRW
411,19991228,A006340,KRW
412,19991228,A006350,KRW
413,19991228,A006360,KRW
414,19991228,A006370,KRW
415,19991228,A006380,KRW
416,19991228,A006390,KRW
417,19991228,A006400,KRW
418,19991228,A006440,KRW
419,19991228,A006490,KRW
420,19991228,A006570,KRW
421,19991228,A006580,KRW
422,19991228,A006600,KRW
