,std_dt,ticker,issues_suspended_from_trading
87,19991228,A000280,
88,20001102,A000280,정지
89,20001103,A000280,
90,20010209,A000280,정지
91,20010516,A000280,
92,19991228,A000300,
93,20020415,A000300,정지
94,20020507,A000300,
95,20031208,A000300,정지
96,20031209,A000300,
97,20060224,A000300,정지
98,20060321,A000300,
99,19991228,A000310,
100,20010719,A000310,정지
101,20010806,A000310,
102,20011004,A000310,정지
103,20011022,A000310,
104,19991228,A000320,
105,20020403,A000320,정지
106,20020408,A000320,
107,20021122,A000320,정지
108,20021125,A000320,
109,20060526,A000320,정지
110,20060623,A000320,
111,20120614,A000320,정지
112,20120615,A000320,
113,19991228,A000330,
114,19991228,A000360,
115,20120717,A000360,정지
116,20120724,A000360,
117,20121227,A000360,정지
118,20130125,A000360,
119,20130418,A000360,정지
120,20130509,A000360,
121,20150216,A000360,정지
122,20150406,A000360,
123,19991228,A000370,
124,20040326,A000370,정지
125,20040428,A000370,
126,19991228,A000380,
127,20040702,A000380,정지
128,20040705,A000380,
129,20040917,A000380,정지
130,20041021,A000380,
131,19991228,A000390,
132,20000406,A000390,정지
133,20000410,A000390,
134,19991228,A000400,
135,20010621,A000400,정지
136,20010622,A000400,
137,20011203,A000400,정지
138,20020128,A000400,
139,20040616,A000400,정지
140,20040617,A000400,
141,20060503,A000400,정지
142,20060517,A000400,
143,19991228,A000420,
144,20070228,A000420,정지
145,20070326,A000420,
146,20130306,A000420,정지
147,20130325,A000420,
148,20130521,A000420,정지
149,20130522,A000420,
150,20130618,A000420,정지
151,20130619,A000420,
152,20140321,A000420,정지
153,20150210,A000420,
154,19991228,A000430,
155,19991228,A000440,
156,20110822,A000440,정지
157,20110906,A000440,
158,20181203,A000440,정지
159,20181206,A000440,
160,19991228,A000450,
161,19991228,A000470,
162,20010621,A000470,정지
163,20010622,A000470,
164,20020116,A000470,정지
165,20020805,A000470,
166,20120530,A000470,정지
167,20120705,A000470,
168,19991228,A000480,
169,19991228,A000490,
170,20100422,A000490,정지
171,20100517,A000490,
172,19991228,A000500,
173,19991228,A000510,
174,19991228,A000520,
175,20060417,A000520,정지
176,20060424,A000520,
177,19991228,A000530,
178,19991228,A000540,
179,20030609,A000540,정지
180,20030610,A000540,
181,20030926,A000540,정지
182,20031028,A000540,
183,19991228,A000550,
184,19991228,A000570,
185,19991228,A000590,
186,20091229,A000590,정지
187,20100127,A000590,
188,19991228,A000600,
189,19991228,A000610,
190,20091224,A000610,정지
191,20100120,A000610,
192,19991228,A000640,
193,20130227,A000640,정지
194,20130408,A000640,
195,20170816,A000640,정지
196,20170904,A000640,
197,19991228,A000650,
198,20050704,A000650,정지
199,20050705,A000650,
200,19991228,A000660,
201,20030327,A000660,정지
202,20030414,A000660,
203,19991228,A000670,
204,19991228,A000680,
205,20000502,A000680,정지
206,20000601,A000680,
207,20050325,A000680,정지
208,20070625,A000680,
209,20100413,A000680,정지
210,20100511,A000680,
211,19991228,A000700,
212,20091127,A000700,정지
213,20091229,A000700,
214,20140529,A000700,정지
215,20140620,A000700,
216,20141204,A000700,정지
217,20141224,A000700,
218,19991228,A000720,
219,20000329,A000720,정지
220,20000330,A000720,
221,20010402,A000720,정지
222,20010403,A000720,
223,20010619,A000720,정지
224,20010706,A000720,
225,20031229,A000720,정지
226,20040113,A000720,
227,19991228,A000730,
228,19991228,A000760,
229,20040604,A000760,정지
230,20040607,A000760,
231,20140423,A000760,정지
232,20140424,A000760,
233,19991228,A000810,
234,19991228,A000830,
235,20150827,A000830,정지
236,20150915,A000830,
237,19991228,A000840,
238,20000426,A000840,정지
239,20000609,A000840,
240,19991228,A000850,
241,19991228,A000860,
242,20040427,A000860,정지
243,20040503,A000860,
244,19991228,A000870,
245,19991228,A000880,
246,20120206,A000880,정지
247,20120207,A000880,
248,20120224,A000880,정지
249,20120227,A000880,
250,19991228,A000890,
251,20110831,A000890,정지
252,20111027,A000890,
253,20111223,A000890,정지
254,20120105,A000890,
255,19991228,A000900,
256,20000224,A000900,정지
257,20000225,A000900,
258,20000314,A000900,정지
259,20000412,A000900,
260,19991228,A000910,
261,20040422,A000910,정지
262,20040423,A000910,
263,19991228,A000930,
264,19991228,A000950,
265,20040102,A000950,정지
266,20040105,A000950,
267,20140812,A000950,정지
268,20140813,A000950,
269,19991228,A000970,
270,20000629,A000970,정지
271,20000703,A000970,
272,20150212,A000970,정지
273,20150213,A000970,
274,19991228,A000990,
275,19991228,A001000,
276,20010426,A001000,정지
277,20010430,A001000,
278,20030807,A001000,정지
279,20030812,A001000,
280,20040517,A001000,정지
281,20040520,A001000,
282,20060403,A001000,정지
283,20060406,A001000,
284,20150120,A001000,정지
285,20150121,A001000,
286,20150206,A001000,정지
287,20150209,A001000,
288,20150217,A001000,정지
289,20150223,A001000,
290,20160315,A001000,정지
291,20160401,A001000,
292,19991228,A001020,
293,20000707,A001020,정지
294,20000808,A001020,
295,20010402,A001020,정지
296,20010403,A001020,
297,20021224,A001020,정지
298,20030110,A001020,
299,20040322,A001020,정지
300,20040406,A001020,
301,20110502,A001020,정지
302,20110519,A001020,
303,20170913,A001020,정지
304,20170927,A001020,
305,20200304,A001020,정지
306,20200324,A001020,
307,19991228,A001030,
308,20001214,A001030,정지
309,20010122,A001030,
310,20010625,A001030,정지
311,20010626,A001030,
312,20020318,A001030,정지
313,20020715,A001030,
314,20020808,A001030,정지
315,20020812,A001030,
316,19991228,A001040,
317,19991228,A001060,
318,19991228,A001070,
319,20180103,A001070,정지
320,20180118,A001070,
321,19991228,A001080,
322,20031124,A001080,정지
323,20031125,A001080,
324,19991228,A001090,
325,19991228,A001120,
326,20061030,A001120,정지
327,20061201,A001120,
328,19991228,A001130,
329,20050906,A001130,정지
330,20050907,A001130,
331,19991228,A001140,
332,20190429,A001140,정지
333,20190503,A001140,
334,20190625,A001140,정지
335,20190626,A001140,
336,19991228,A001150,
337,20030718,A001150,정지
338,20030721,A001150,
339,20030818,A001150,정지
340,20030819,A001150,
341,20030820,A001150,정지
342,20030923,A001150,
343,19991228,A001160,
344,19991228,A001170,
345,19991228,A001190,
346,20000323,A001190,정지
347,20000327,A001190,
348,20051027,A001190,정지
349,20051118,A001190,
350,20090324,A001190,정지
351,20090403,A001190,
352,19991228,A001200,
353,20010628,A001200,정지
354,20010702,A001200,
355,20050629,A001200,정지
356,20050705,A001200,
357,20110629,A001200,정지
358,20110718,A001200,
359,19991228,A001210,
360,20191007,A001210,정지
361,20191025,A001210,
362,19991228,A001230,
363,20030423,A001230,정지
364,20030424,A001230,
365,19991228,A001250,
366,20010402,A001250,정지
367,20010403,A001250,
368,20020315,A001250,정지
369,20020328,A001250,
370,20020415,A001250,정지
371,20020507,A001250,
372,20031124,A001250,정지
373,20031223,A001250,
374,20060227,A001250,정지
375,20060317,A001250,
376,20061018,A001250,정지
377,20061106,A001250,
378,19991228,A001260,
379,20040419,A001260,정지
380,20040506,A001260,
381,20120220,A001260,정지
382,20120417,A001260,
383,20120802,A001260,정지
384,20120810,A001260,
385,20121220,A001260,정지
386,20130215,A001260,
387,20130515,A001260,정지
388,20130516,A001260,
389,20130603,A001260,정지
390,20130604,A001260,
391,20150119,A001260,정지
392,20150420,A001260,
393,20151221,A001260,정지
394,20160205,A001260,
395,19991228,A001270,
396,19991228,A001280,
397,20040616,A001280,정지
398,20040625,A001280,
399,19991228,A001290,
400,20000202,A001290,정지
401,20000208,A001290,
402,20030701,A001290,정지
403,20030702,A001290,
404,20030710,A001290,정지
405,20030820,A001290,
406,20040607,A001290,정지
407,20040608,A001290,
408,20040716,A001290,정지
409,20040824,A001290,
410,20050525,A001290,정지
411,20051223,A001290,
412,20130610,A001290,정지
413,20140120,A001290,
414,20150205,A001290,정지
415,20150206,A001290,
416,20170824,A001290,정지
417,20180220,A001290,
418,19991228,A001300,
419,20140627,A001300,정지
420,20140715,A001300,
421,19991228,A001340,
422,20120423,A001340,정지
423,20120510,A001340,
424,19991228,A001350,
425,20000502,A001350,정지
426,20000609,A001350,
427,19991228,A001360,
428,20111228,A001360,정지
429,20120120,A001360,
430,19991228,A001370,
431,20011129,A001370,정지
432,20011224,A001370,
433,20090730,A001370,정지
434,20090817,A001370,
435,19991228,A001380,
436,20000921,A001380,정지
437,20001019,A001380,
438,20031024,A001380,정지
439,20031112,A001380,
440,20050314,A001380,정지
441,20070625,A001380,
442,20090401,A001380,정지
443,20090402,A001380,
444,20090910,A001380,정지
445,20091001,A001380,
446,20100423,A001380,정지
447,20100513,A001380,
448,20130401,A001380,정지
449,20130402,A001380,
450,20151012,A001380,정지
451,20151013,A001380,
452,19991228,A001390,
453,20000928,A001390,정지
454,20001031,A001390,
455,20030819,A001390,정지
456,20030901,A001390,
457,20041223,A001390,정지
458,20050112,A001390,
459,19991228,A001400,
460,20001122,A001400,정지
461,20001123,A001400,
462,20010223,A001400,정지
463,20010402,A001400,
464,19991228,A001420,
465,20090630,A001420,정지
466,20090722,A001420,
467,19991228,A001430,
468,20031209,A001430,정지
469,20031226,A001430,
470,19991228,A001440,
471,20020418,A001440,정지
472,20020422,A001440,
473,20030325,A001440,정지
474,20030326,A001440,
475,20121019,A001440,정지
476,20121108,A001440,
477,20141204,A001440,정지
478,20151208,A001440,
479,19991228,A001450,
480,20040707,A001450,정지
481,20040713,A001450,
482,19991228,A001460,
483,19991228,A001470,
484,20110413,A001470,정지
485,20110629,A001470,
486,20150818,A001470,정지
487,20150904,A001470,
488,20160302,A001470,정지
489,20160513,A001470,
490,20190426,A001470,정지
491,20190502,A001470,
492,19991228,A001500,
493,19991228,A001510,
494,20030701,A001510,정지
495,20030709,A001510,
496,20140731,A001510,정지
497,20140801,A001510,
498,19991228,A001520,
499,20110128,A001520,정지
500,20110214,A001520,
501,20110317,A001520,정지
502,20110318,A001520,
503,20130125,A001520,정지
504,20130128,A001520,
505,20131001,A001520,정지
506,20131018,A001520,
507,20140129,A001520,정지
508,20140620,A001520,
509,20140821,A001520,정지
510,20140822,A001520,
511,19991228,A001530,
512,20030908,A001530,정지
513,20030909,A001530,
514,19991228,A001540,
515,20020905,A001540,정지
516,20020909,A001540,
517,19991228,A001550,
518,20070419,A001550,정지
519,20070515,A001550,
520,19991228,A001560,
521,20150722,A001560,정지
522,20150723,A001560,
523,19991228,A001570,
524,20000412,A001570,정지
525,20000417,A001570,
526,20011203,A001570,정지
527,20011204,A001570,
528,20030620,A001570,정지
529,20030801,A001570,
530,19991228,A001580,
531,20010529,A001580,정지
532,20010702,A001580,
533,20040108,A001580,정지
534,20040109,A001580,
535,20040113,A001580,정지
536,20040206,A001580,
537,20040609,A001580,정지
538,20040630,A001580,
539,20040909,A001580,정지
540,20040910,A001580,
541,20050415,A001580,정지
542,20050504,A001580,
543,20050627,A001580,정지
544,20050727,A001580,
545,19991228,A001600,
546,20011206,A001600,정지
547,20011224,A001600,
548,20090401,A001600,정지
549,20090402,A001600,
550,20090717,A001600,정지
551,20090720,A001600,
552,20091105,A001600,정지
553,20091203,A001600,
554,20100323,A001600,정지
555,20100406,A001600,
556,19991228,A001610,
557,19991228,A001620,
558,20070425,A001620,정지
559,20070502,A001620,
560,20090925,A001620,정지
561,20090928,A001620,
562,19991228,A001630,
563,20000510,A001630,정지
564,20000515,A001630,
565,20011108,A001630,정지
566,20011211,A001630,
567,20131031,A001630,정지
568,20131206,A001630,
569,19991228,A001670,
570,20020221,A001670,정지
571,20020329,A001670,
572,20050211,A001670,정지
573,20050419,A001670,
574,19991228,A001680,
575,20010423,A001680,정지
576,20010507,A001680,
577,20050719,A001680,정지
578,20050805,A001680,
579,19991228,A001690,
580,20011226,A001690,정지
581,20020121,A001690,
582,19991228,A001700,
583,19991228,A001720,
584,19991228,A001740,
585,20031023,A001740,정지
586,20031111,A001740,
587,20041216,A001740,정지
588,20050104,A001740,
589,19991228,A001750,
590,19991228,A001770,
591,20020318,A001770,정지
592,20020322,A001770,
593,20200110,A001770,정지
594,20200325,A001770,
595,19991228,A001780,
596,20020402,A001780,정지
597,20020408,A001780,
598,19991228,A001790,
599,20110418,A001790,정지
600,20110504,A001790,
601,19991228,A001800,
602,20170530,A001800,정지
603,20170707,A001800,
604,19991228,A001810,
605,20031211,A001810,정지
606,20031212,A001810,
607,20060707,A001810,정지
608,20060721,A001810,
609,19991228,A001820,
610,20000420,A001820,정지
611,20000424,A001820,
612,20040315,A001820,정지
613,20040316,A001820,
614,19991228,A001830,
615,20051222,A001830,정지
616,20060105,A001830,
617,20070427,A001830,정지
618,20070522,A001830,
619,19991228,A001840,
620,20031224,A001840,정지
621,20031229,A001840,
622,20130826,A001840,정지
623,20130827,A001840,
624,19991228,A001880,
625,20131220,A001880,정지
626,20140110,A001880,
627,19991228,A001910,
628,19991228,A001920,
629,20000113,A001920,정지
630,20000215,A001920,
631,20020325,A001920,정지
632,20020328,A001920,
633,19991228,A001930,
634,19991228,A001940,
635,20180430,A001940,정지
636,20180504,A001940,
637,19991228,A001950,
638,20060215,A001950,정지
639,20060216,A001950,
640,20090522,A001950,정지
641,20090619,A001950,
642,20090925,A001950,정지
643,20091006,A001950,
644,19991228,A001980,
645,20030813,A001980,정지
646,20030814,A001980,
647,20030822,A001980,정지
648,20030908,A001980,
649,20040107,A001980,정지
650,20040524,A001980,
651,19991228,A001990,
652,19991228,A002000,
653,20050401,A002000,정지
654,20050404,A002000,
655,20051004,A002000,정지
656,20051005,A002000,
657,20120402,A002000,정지
658,20120403,A002000,
659,20181108,A002000,정지
660,20181204,A002000,
661,19991228,A002010,
662,19991228,A002020,
663,20091229,A002020,정지
664,20100201,A002020,
665,19991228,A002030,
666,20130927,A002030,정지
667,20131106,A002030,
668,19991228,A002050,
669,20011206,A002050,정지
670,20011224,A002050,
671,20030227,A002050,정지
672,20030314,A002050,
673,20030326,A002050,정지
674,20030428,A002050,
675,19991228,A002070,
676,20050103,A002070,정지
677,20050104,A002070,
678,20100428,A002070,정지
679,20100513,A002070,
680,20190730,A002070,정지
681,20190731,A002070,
682,20200203,A002070,정지
683,20200206,A002070,
684,20200803,A002070,정지
685,20200821,A002070,
686,19991228,A002080,
687,20001122,A002080,정지
688,20001222,A002080,
689,19991228,A002100,
690,20050421,A002100,정지
691,20050428,A002100,
692,20070417,A002100,정지
693,20070502,A002100,
694,19991228,A002130,
695,20001109,A002130,정지
696,20001110,A002130,
697,20011109,A002130,정지
698,20011115,A002130,
699,19991228,A002140,
700,20030414,A002140,정지
701,20030507,A002140,
702,20130425,A002140,정지
703,20130515,A002140,
704,19991228,A002150,
705,20130828,A002150,정지
706,20130904,A002150,
707,19991228,A002170,
708,19991228,A002180,
709,20020207,A002180,정지
710,20020304,A002180,
711,20020305,A002180,정지
712,20020308,A002180,
713,19991228,A002190,
714,19991228,A002200,
715,19991228,A002210,
716,20140826,A002210,정지
717,20140827,A002210,
718,19991228,A002220,
719,20021227,A002220,정지
720,20030217,A002220,
721,20190419,A002220,정지
722,20190424,A002220,
723,19991228,A002230,
724,19991228,A002240,
725,20010402,A002240,정지
726,20010403,A002240,
727,20010426,A002240,정지
728,20010430,A002240,
729,20020515,A002240,정지
730,20020516,A002240,
731,20030915,A002240,정지
732,20030916,A002240,
733,19991228,A002250,
734,20121029,A002250,정지
735,20121030,A002250,
736,20180403,A002250,정지
737,20180404,A002250,
738,20190318,A002250,정지
739,20190520,A002250,
740,19991228,A002270,
741,20170928,A002270,정지
742,20171030,A002270,
743,19991228,A002290,
744,20140428,A002290,정지
745,20140516,A002290,
746,19991228,A002300,
747,20200629,A002300,정지
748,20200713,A002300,
749,19991228,A002310,
750,19991228,A002320,
751,19991228,A002340,
752,19991228,A002350,
753,19991228,A002360,
754,20010119,A002360,정지
755,20010220,A002360,
756,19991228,A002380,
757,20040226,A002380,정지
758,20040227,A002380,
759,20191227,A002380,정지
760,20200121,A002380,
761,19991228,A002390,
762,20030428,A002390,정지
763,20030502,A002390,
764,19991228,A002410,
765,20041228,A002410,정지
766,20041229,A002410,
767,20111021,A002410,정지
768,20111109,A002410,
769,20120330,A002410,정지
770,20120410,A002410,
771,20120425,A002410,정지
772,20120426,A002410,
773,20120611,A002410,정지
774,20140707,A002410,
775,20171116,A002410,정지
776,20171206,A002410,
777,19991228,A002420,
778,20021024,A002420,정지
779,20021025,A002420,
780,20021115,A002420,정지
781,20021119,A002420,
782,20150126,A002420,정지
783,20150127,A002420,
784,20200818,A002420,정지
785,19991228,A002440,
786,19991228,A002450,
787,20020617,A002450,정지
788,20020708,A002450,
789,19991228,A002460,
790,19991228,A002530,
791,20040209,A002530,정지
792,20040210,A002530,
793,20120202,A002530,정지
794,20120522,A002530,
795,20120627,A002530,정지
796,20120704,A002530,
797,20121108,A002530,정지
798,20130110,A002530,
799,20130529,A002530,정지
800,20130530,A002530,
801,20131120,A002530,정지
802,20131121,A002530,
803,20140206,A002530,정지
804,20140416,A002530,
805,19991228,A002540,
806,20010914,A002540,정지
807,20010917,A002540,
808,20011023,A002540,정지
809,20011024,A002540,
810,20011220,A002540,정지
811,20020114,A002540,
812,20020402,A002540,정지
813,20020430,A002540,
814,20060227,A002540,정지
815,20060317,A002540,
816,20061121,A002540,정지
817,20061122,A002540,
818,20090324,A002540,정지
819,20090403,A002540,
820,20090504,A002540,정지
821,20090605,A002540,
822,20100312,A002540,정지
823,20100414,A002540,
824,19991228,A002550,
825,20170705,A002550,정지
826,20170721,A002550,
827,19991228,A002600,
828,19991228,A002610,
829,20020328,A002610,정지
830,20020422,A002610,
831,20030227,A002610,정지
832,20030312,A002610,
833,19991228,A002620,
834,20060417,A002620,정지
835,20060426,A002620,
836,20170530,A002620,정지
837,20170717,A002620,
838,19991228,A002630,
839,20030623,A002630,정지
840,20030718,A002630,
841,20150603,A002630,정지
842,20150604,A002630,
843,20200205,A002630,정지
844,20200221,A002630,
845,19991228,A002670,
846,20030708,A002670,정지
847,20030801,A002670,
848,20040629,A002670,정지
849,20040728,A002670,
850,20120227,A002670,정지
851,20120405,A002670,
852,19991228,A002680,
853,20130917,A002680,정지
854,20131031,A002680,
855,19991228,A002690,
856,19991228,A002700,
857,20040528,A002700,정지
858,20040531,A002700,
859,20040909,A002700,정지
860,20040910,A002700,
861,20050218,A002700,정지
862,20050401,A002700,
863,20130607,A002700,정지
864,20130610,A002700,
865,20151106,A002700,정지
866,20151125,A002700,
867,19991228,A002710,
868,20090504,A002710,정지
869,20090508,A002710,
870,19991228,A002720,
871,20040830,A002720,정지
872,20040831,A002720,
873,20060626,A002720,정지
874,20060703,A002720,
875,20150408,A002720,정지
876,20150409,A002720,
877,19991228,A002730,
878,19991228,A002740,
879,20010416,A002740,정지
880,20010521,A002740,
881,19991228,A002750,
882,19991228,A002760,
883,20170421,A002760,정지
884,20170511,A002760,
885,19991228,A002780,
886,20020403,A002780,정지
887,20020424,A002780,
888,20040329,A002780,정지
889,20040330,A002780,
890,20110216,A002780,정지
891,20110217,A002780,
892,20110512,A002780,정지
893,20110513,A002780,
894,20120224,A002780,정지
895,20120417,A002780,
896,20130321,A002780,정지
897,20130410,A002780,
898,20150722,A002780,정지
899,20150723,A002780,
900,20170207,A002780,정지
901,20170502,A002780,
902,20180205,A002780,정지
903,20180228,A002780,
904,19991228,A002790,
905,20060526,A002790,정지
906,20060629,A002790,
907,20150422,A002790,정지
908,20150508,A002790,
909,19991228,A002800,
910,19991228,A002810,
911,19991228,A002820,
912,20110420,A002820,정지
913,20110512,A002820,
914,19991228,A002830,
915,19991228,A002840,
916,20101229,A002840,정지
917,20110215,A002840,
918,20190726,A002840,정지
919,20190813,A002840,
920,19991228,A002850,
921,20040213,A002850,정지
922,20040413,A002850,
923,19991228,A002860,
924,20000104,A002860,정지
925,20021213,A002860,
926,20051129,A002860,정지
927,20051213,A002860,
928,19991228,A002870,
929,20170419,A002870,정지
930,20170511,A002870,
931,19991228,A002880,
932,20020503,A002880,정지
933,20020506,A002880,
934,20031209,A002880,정지
935,20031210,A002880,
936,20040331,A002880,정지
937,20040401,A002880,
938,20040910,A002880,정지
939,20041004,A002880,
940,20050712,A002880,정지
941,20050713,A002880,
942,19991228,A002900,
943,20160414,A002900,정지
944,20160502,A002900,
945,19991228,A002910,
946,19991228,A002920,
947,20050414,A002920,정지
948,20050419,A002920,
949,19991228,A002930,
950,20020402,A002930,정지
951,20020403,A002930,
952,20020724,A002930,정지
953,20020729,A002930,
954,20030325,A002930,정지
955,20030326,A002930,
956,20030506,A002930,정지
957,20030507,A002930,
958,20040331,A002930,정지
959,20040428,A002930,
960,19991228,A002940,
961,20000428,A002940,정지
962,20000609,A002940,
963,19991228,A002950,
964,20040428,A002950,정지
965,20040511,A002950,
966,19991228,A002960,
967,19991228,A002990,
968,20030421,A002990,정지
969,20030422,A002990,
970,20030718,A002990,정지
971,20030721,A002990,
972,20100311,A002990,정지
973,20100401,A002990,
974,20101104,A002990,정지
975,20101124,A002990,
976,20130115,A002990,정지
977,20130116,A002990,
978,20130122,A002990,정지
979,20130123,A002990,
980,20130228,A002990,정지
981,20130328,A002990,
982,20190325,A002990,정지
983,20190326,A002990,
984,19991228,A003000,
985,19991228,A003010,
986,19991228,A003020,
987,20031216,A003020,정지
988,20031217,A003020,
989,20040323,A003020,정지
990,20040518,A003020,
991,19991228,A003030,
992,20010628,A003030,정지
993,20010730,A003030,
994,20180830,A003030,정지
995,20181005,A003030,
996,19991228,A003040,
997,20040531,A003040,정지
998,20040622,A003040,
999,20061030,A003040,정지
1000,20061122,A003040,
1001,19991228,A003050,
1002,20000113,A003050,정지
1003,20000117,A003050,
1004,20041220,A003050,정지
1005,20041223,A003050,
1006,19991228,A003060,
1007,20010913,A003060,정지
1008,20011016,A003060,
1009,20040917,A003060,정지
1010,20041008,A003060,
1011,20060125,A003060,정지
1012,20060126,A003060,
1013,20090324,A003060,정지
1014,20090403,A003060,
1015,20090504,A003060,정지
1016,20090527,A003060,
1017,20150703,A003060,정지
1018,20150706,A003060,
1019,20150716,A003060,정지
1020,20150717,A003060,
1021,20150723,A003060,정지
1022,20150817,A003060,
1023,19991228,A003070,
1024,20140423,A003070,정지
1025,20140523,A003070,
1026,19991228,A003080,
1027,20160421,A003080,정지
1028,20160513,A003080,
1029,19991228,A003090,
1030,20020927,A003090,정지
1031,20021024,A003090,
1032,20021025,A003090,정지
1033,20021101,A003090,
1034,20170426,A003090,정지
1035,20170518,A003090,
1036,20201221,A003090,정지
1037,19991228,A003100,
1038,20020918,A003100,정지
1039,20020923,A003100,
1040,19991228,A003110,
1041,20000331,A003110,정지
1042,20000403,A003110,
1043,20000516,A003110,정지
1044,20000517,A003110,
1045,20001211,A003110,정지
1046,20001212,A003110,
1047,20010816,A003110,정지
1048,20010817,A003110,
1049,20020117,A003110,정지
1050,20020118,A003110,
1051,20020325,A003110,정지
1052,20020328,A003110,
1053,19991228,A003120,
1054,20130102,A003120,정지
1055,20130103,A003120,
1056,20140102,A003120,정지
1057,20140103,A003120,
1058,19991228,A003160,
1059,20121004,A003160,정지
1060,20121005,A003160,
1061,20121011,A003160,정지
1062,20121012,A003160,
1063,19991228,A003190,
1064,20030328,A003190,정지
1065,20030331,A003190,
1066,20030827,A003190,정지
1067,20030922,A003190,
1068,20031222,A003190,정지
1069,20031223,A003190,
1070,20040112,A003190,정지
1071,20040120,A003190,
1072,20040129,A003190,정지
1073,20040130,A003190,
1074,20040806,A003190,정지
1075,20040809,A003190,
1076,20041028,A003190,정지
1077,20041029,A003190,
1078,20050124,A003190,정지
1079,20050322,A003190,
1080,20050819,A003190,정지
1081,20050912,A003190,
1082,20060413,A003190,정지
1083,20060503,A003190,
1084,20110216,A003190,정지
1085,20110217,A003190,
1086,20110512,A003190,정지
1087,20110513,A003190,
1088,20130322,A003190,정지
1089,20130423,A003190,
1090,19991228,A003200,
1091,19991228,A003220,
1092,20021212,A003220,정지
1093,20021216,A003220,
1094,20040414,A003220,정지
1095,20040430,A003220,
1096,19991228,A003230,
1097,20030721,A003230,정지
1098,20030722,A003230,
1099,20050318,A003230,정지
1100,20050324,A003230,
1101,19991228,A003240,
1102,20041210,A003240,정지
1103,20041213,A003240,
1104,19991228,A003280,
1105,20060417,A003280,정지
1106,20060425,A003280,
1107,20190604,A003280,정지
1108,20190624,A003280,
1109,20200331,A003280,정지
1110,19991228,A003290,
1111,19991228,A003300,
1112,20180628,A003300,정지
1113,20180806,A003300,
1114,20201209,A003300,정지
1115,20201214,A003300,
1116,19991228,A003310,
1117,20000201,A003310,정지
1118,20010402,A003310,
1119,20051024,A003310,정지
1120,20051031,A003310,
1121,19991228,A003320,
1122,20010830,A003320,정지
1123,20010911,A003320,
1124,19991228,A003330,
1125,20061011,A003330,정지
1126,20061027,A003330,
1127,19991228,A003350,
1128,20100428,A003350,정지
1129,20100601,A003350,
1130,20150123,A003350,정지
1131,20150126,A003350,
1132,20150402,A003350,정지
1133,20150403,A003350,
1134,19991228,A003380,
1135,19991228,A003410,
1136,20010402,A003410,정지
1137,20010403,A003410,
1138,20030422,A003410,정지
1139,20030423,A003410,
1140,20040702,A003410,정지
1141,20040705,A003410,
1142,20051121,A003410,정지
1143,20051219,A003410,
1144,20120510,A003410,정지
1145,20120530,A003410,
1146,20180706,A003410,정지
1147,20180711,A003410,
1148,20201112,A003410,정지
1149,20201204,A003410,
1150,19991228,A003430,
1151,19991228,A003450,
1152,20161017,A003450,정지
1153,20161101,A003450,
1154,19991228,A003460,
1155,20200409,A003460,정지
1156,20200414,A003460,
1157,19991228,A003470,
1158,19991228,A003480,
1159,19991228,A003490,
1160,20130730,A003490,정지
1161,20130916,A003490,
1162,19991228,A003500,
1163,19991228,A003520,
1164,20001211,A003520,정지
1165,20010108,A003520,
1166,20040219,A003520,정지
1167,20040305,A003520,
1168,19991228,A003530,
1169,19991228,A003540,
