,std_dt,ticker,kospi200
1590,20000104,A027970,N
1591,20070615,A027970,Y
1592,20100611,A027970,N
1593,20000104,A028040,N
1594,20000104,A028050,N
1595,20070615,A028050,Y
1596,20000104,A028080,N
1597,20000104,A028090,N
1598,20090612,A028100,N
1599,20000120,A028150,N
1600,20141218,A028260,N
1601,20150313,A028260,Y
1602,20000104,A028300,N
1603,20070921,A028670,N
1604,20090612,A028670,Y
1605,20130611,A028670,N
1606,20170609,A028670,Y
1607,20000104,A029460,Y
1608,20090612,A029460,N
1609,20000104,A029480,N
1610,20000104,A029530,Y
1611,20180615,A029530,N
1612,20070627,A029780,N
1613,20090612,A029780,Y
1614,20040618,A029960,N
1615,20000104,A030000,N
1616,20000609,A030000,Y
1617,20011204,A030030,N
1618,20000516,A030190,N
1619,20000104,A030200,Y
1620,20000104,A030210,N
1621,20001219,A030210,Y
1622,20010615,A030210,N
1623,20000104,A030270,N
1624,20000104,A030350,N
1625,20000104,A030390,N
1626,20000104,A030420,N
1627,20000104,A030520,N
1628,20000104,A030530,N
1629,20000104,A030610,N
1630,20000104,A030700,N
1631,20000104,A030710,N
1632,20000104,A030720,N
1633,20001226,A030790,N
1634,20000104,A030960,N
1635,20000104,A030970,N
1636,20000704,A031150,N
1637,20000104,A031310,N
1638,20000523,A031330,N
1639,20000104,A031390,N
1640,20110714,A031430,N
1641,20190614,A031430,Y
1642,20010731,A031440,N
1643,20000104,A031510,N
1644,20000104,A031800,N
1645,20000104,A031820,Y
1646,20040611,A031820,N
1647,20000104,A031860,N
1648,20000104,A031920,N
1649,20000104,A031950,N
1650,20000104,A031960,N
1651,20000104,A031970,N
1652,20000104,A031980,N
1653,20000104,A031990,N
1654,20000104,A032030,N
1655,20000104,A032050,N
1656,20001026,A032080,N
1657,20000104,A032150,N
1658,20000418,A032180,N
1659,20000104,A032190,N
1660,20000104,A032280,N
1661,20000104,A032290,N
1662,20200810,A032300,N
1663,20060608,A032350,N
1664,20200612,A032350,Y
1665,20000104,A032380,N
1666,20000104,A032390,N
1667,20040611,A032390,Y
1668,20090612,A032390,N
1669,20000104,A032420,N
1670,20000321,A032500,N
1671,20000104,A032540,N
1672,20000104,A032560,N
1673,20000104,A032570,N
1674,20000104,A032580,N
1675,20000104,A032590,N
1676,20000104,A032600,N
1677,20000104,A032610,N
1678,20000104,A032620,N
1679,20000921,A032640,N
1680,20100611,A032640,Y
1681,20000104,A032680,N
1682,20020422,A032710,N
1683,20020617,A032710,Y
1684,20040329,A032710,N
1685,20060609,A032710,Y
1686,20070615,A032710,N
1687,20000104,A032750,N
1688,20000104,A032780,N
1689,20000104,A032790,N
1690,20000104,A032800,N
1691,20000622,A032820,N
1692,20100512,A032830,N
1693,20100910,A032830,Y
1694,20000104,A032850,N
1695,20000104,A032860,N
1696,20000104,A032930,N
1697,20000104,A032940,N
1698,20000104,A032960,N
1699,20000104,A032980,N
1700,20010510,A033020,N
1701,20000104,A033040,N
1702,20000104,A033050,N
1703,20000104,A033070,N
1704,20000104,A033100,N
1705,20000104,A033110,N
1706,20000104,A033130,N
1707,20000104,A033160,N
1708,20101126,A033170,N
1709,20000104,A033180,N
1710,20000104,A033190,N
1711,20000104,A033200,N
1712,20000104,A033210,N
1713,20000104,A033220,N
1714,20000104,A033230,N
1715,20000104,A033240,N
1716,20010615,A033240,Y
1717,20080613,A033240,N
1718,20140414,A033240,Y
1719,20150612,A033240,N
1720,20000104,A033250,N
1721,20010201,A033260,N
1722,20000104,A033270,N
1723,20000104,A033280,N
1724,20000104,A033290,N
1725,20000104,A033300,N
1726,20000104,A033310,N
1727,20000104,A033320,N
1728,20000104,A033330,N
