,std_dt,symbol,administrative_issues
277,20120402,A002000,관리
278,20130128,A002000,
279,19991228,A002010,
280,19991228,A002020,
281,19991228,A002030,
282,19991228,A002050,
283,20000104,A002050,관리
284,20021125,A002050,
285,20021127,A002050,관리
286,20030512,A002050,
287,19991228,A002070,
288,20050103,A002070,관리
289,20050401,A002070,
290,20080929,A002070,관리
291,20090123,A002070,
292,19991228,A002080,
293,19991228,A002100,
294,19991228,A002130,
295,20001109,A002130,관리
296,20011206,A002130,
297,19991228,A002140,
298,19991228,A002150,
299,19991228,A002170,
300,19991228,A002180,
301,20000104,A002180,관리
302,20011121,A002180,
303,20011123,A002180,관리
304,20020401,A002180,
305,19991228,A002190,
306,19991228,A002200,
307,19991228,A002210,
308,19991228,A002220,
309,19991228,A002230,
310,19991228,A002240,
311,20010402,A002240,관리
312,20010601,A002240,
313,19991228,A002250,
314,20180403,A002250,관리
315,20190520,A002250,
316,19991228,A002270,
317,19991228,A002290,
318,19991228,A002300,
319,19991228,A002310,
320,19991228,A002320,
321,19991228,A002340,
322,19991228,A002350,
323,20000104,A002350,관리
324,20000218,A002350,
325,19991228,A002360,
326,19991228,A002380,
327,19991228,A002390,
328,19991228,A002410,
329,20111021,A002410,관리
330,20140509,A002410,
331,19991228,A002420,
332,19991228,A002440,
333,19991228,A002450,
334,20000104,A002450,관리
335,20020814,A002450,
336,19991228,A002460,
337,19991228,A002530,
338,20120402,A002530,관리
339,20140425,A002530,
340,19991228,A002540,
341,20010914,A002540,관리
342,20030303,A002540,
343,20080417,A002540,관리
344,20090403,A002540,
345,20090504,A002540,관리
346,20100423,A002540,
347,19991228,A002550,
348,19991228,A002600,
349,19991228,A002610,
350,19991228,A002620,
351,19991228,A002630,
352,19991228,A002670,
353,20120323,A002670,관리
354,20120417,A002670,
355,19991228,A002680,
356,19991228,A002690,
357,19991228,A002700,
358,20040528,A002700,관리
359,20050401,A002700,
360,19991228,A002710,
361,19991228,A002720,
362,20040830,A002720,관리
363,20051226,A002720,
364,19991228,A002730,
365,19991228,A002740,
366,19991228,A002750,
367,19991228,A002760,
368,19991228,A002780,
369,19991228,A002790,
370,19991228,A002800,
371,19991228,A002810,
372,19991228,A002820,
373,19991228,A002830,
374,19991228,A002840,
375,19991228,A002850,
376,19991228,A002860,
377,19991228,A002870,
378,19991228,A002880,
379,20040331,A002880,관리
380,20040421,A002880,
381,20040504,A002880,관리
382,20050331,A002880,
383,19991228,A002900,
384,19991228,A002910,
385,19991228,A002920,
386,19991228,A002930,
387,20000104,A002930,관리
388,20020219,A002930,
389,20020402,A002930,관리
390,20020404,A002930,
391,20030325,A002930,관리
392,20040510,A002930,
393,19991228,A002940,
394,20000104,A002940,관리
395,20000630,A002940,
396,19991228,A002950,
397,19991228,A002960,
398,19991228,A002990,
399,20190325,A002990,관리
400,20190327,A002990,
401,19991228,A003000,
402,19991228,A003010,
403,19991228,A003020,
404,20000104,A003020,관리
405,20030526,A003020,
406,20031216,A003020,관리
407,20040113,A003020,
408,20040116,A003020,관리
409,20040531,A003020,
410,19991228,A003030,
411,19991228,A003040,
412,20000104,A003040,관리
413,20040914,A003040,
414,19991228,A003050,
415,19991228,A003060,
416,20000104,A003060,관리
417,20011015,A003060,
418,20080125,A003060,관리
419,20081222,A003060,
420,19991228,A003070,
421,19991228,A003080,
422,19991228,A003090,
423,19991228,A003100,
424,19991228,A003110,
425,20000331,A003110,관리
426,20000404,A003110,
427,20000516,A003110,관리
428,20000519,A003110,
429,20001211,A003110,관리
430,20010611,A003110,
431,20010816,A003110,관리
432,20010925,A003110,
433,20020117,A003110,관리
434,20020422,A003110,
435,19991228,A003120,
436,20130102,A003120,관리
437,20130701,A003120,
438,20140102,A003120,관리
439,20140411,A003120,
440,19991228,A003160,
441,19991228,A003190,
442,20030328,A003190,관리
443,20040219,A003190,
444,20040224,A003190,관리
445,20050530,A003190,
446,20050616,A003190,관리
447,20051226,A003190,
448,20130402,A003190,관리
449,20130503,A003190,
450,19991228,A003200,
451,19991228,A003220,
452,19991228,A003230,
453,20000104,A003230,관리
454,20050119,A003230,
455,20050125,A003230,관리
456,20050401,A003230,
457,19991228,A003240,
458,19991228,A003280,
459,20000104,A003280,관리
460,20041201,A003280,
461,20200331,A003280,관리
462,20200410,A003280,
463,20200526,A003280,관리
464,19991228,A003290,
465,19991228,A003300,
466,19991228,A003310,
467,20000201,A003310,관리
468,20011226,A003310,
469,19991228,A003320,
470,19991228,A003330,
471,19991228,A003350,
472,19991228,A003380,
473,19991228,A003410,
474,20010402,A003410,관리
475,20020401,A003410,
476,19991228,A003430,
477,19991228,A003450,
478,19991228,A003460,
479,19991228,A003470,
480,19991228,A003480,
481,19991228,A003490,
482,19991228,A003500,
483,19991228,A003520,
484,20000104,A003520,관리
485,20041005,A003520,
486,19991228,A003530,
487,19991228,A003540,
488,19991228,A003550,
489,19991228,A003560,
490,20000104,A003560,관리
491,20020327,A003560,
492,19991228,A003570,
493,20000104,A003570,관리
494,20030411,A003570,
495,19991228,A003580,
496,19991228,A003590,
497,20000104,A003590,관리
498,20010730,A003590,
499,20030701,A003590,관리
500,20040312,A003590,
501,20040324,A003590,관리
502,20040722,A003590,
503,19991228,A003600,
504,19991228,A003610,
505,19991228,A003620,
506,20010402,A003620,관리
507,20020402,A003620,
508,20090112,A003620,관리
509,20090403,A003620,
510,20090504,A003620,관리
511,20110315,A003620,
512,20200818,A003620,관리
513,19991228,A003640,
514,20010402,A003640,관리
515,20020402,A003640,
516,19991228,A003650,
517,19991228,A003660,
518,20000104,A003660,관리
519,20020109,A003660,
520,20020110,A003660,관리
521,20020715,A003660,
522,19991228,A003670,
523,19991228,A003680,
524,19991228,A003690,
525,19991228,A003700,
526,19991228,A003720,
527,19991228,A003780,
528,19991228,A003800,
529,20180418,A003800,관리
530,20181031,A003800,
531,19991228,A003810,
532,20010102,A003810,관리
533,20010524,A003810,
534,19991228,A003830,
535,20080701,A003830,관리
536,20090102,A003830,
537,20090401,A003830,관리
538,20090403,A003830,
539,20090504,A003830,관리
540,20100401,A003830,
541,19991228,A003840,
542,19991228,A003850,
543,19991228,A003860,
544,19991228,A003890,
545,19991228,A003900,
546,20000104,A003900,관리
547,20040312,A003900,
548,19991228,A003920,
549,20030401,A003920,관리
550,20030701,A003920,
551,19991228,A003930,
552,20000104,A003930,관리
553,20020313,A003930,
554,20040331,A003930,관리
555,20040401,A003930,
556,20040517,A003930,관리
557,20040630,A003930,
558,19991228,A003940,
559,19991228,A003960,
560,20040629,A003960,관리
561,20050630,A003960,
562,20130402,A003960,관리
563,20130701,A003960,
564,19991228,A003970,
565,19991228,A003990,
566,20060330,A003990,관리
567,20060517,A003990,
568,20060530,A003990,관리
569,20070226,A003990,
570,19991228,A004000,
571,19991228,A004010,
572,20000104,A004010,관리
573,20030331,A004010,
574,19991228,A004020,
575,19991228,A004060,
576,20000104,A004060,관리
577,20021220,A004060,
578,19991228,A004080,
579,19991228,A004090,
580,19991228,A004100,
581,19991228,A004110,
582,20000104,A004110,관리
583,20020429,A004110,
584,19991228,A004130,
585,19991228,A004140,
586,19991228,A004150,
587,19991228,A004170,
588,19991228,A004190,
589,20000104,A004190,관리
590,20020208,A004190,
591,20020214,A004190,관리
592,20020228,A004190,
593,20030401,A004190,관리
594,20040401,A004190,
595,19991228,A004200,
596,19991228,A004210,
597,19991228,A004230,
598,20081224,A004230,관리
599,20090403,A004230,
600,19991228,A004250,
601,19991228,A004260,
602,19991228,A004270,
603,19991228,A004280,
604,19991228,A004290,
605,19991228,A004310,
606,19991228,A004320,
607,20000201,A004320,관리
608,20010330,A004320,
609,20141008,A004320,관리
610,20150413,A004320,
611,19991228,A004360,
612,19991228,A004370,
613,19991228,A004380,
614,19991228,A004390,
615,20010402,A004390,관리
616,20020415,A004390,
617,19991228,A004410,
618,19991228,A004430,
619,20030701,A004430,관리
620,20031001,A004430,
621,19991228,A004440,
622,19991228,A004450,
623,19991228,A004460,
624,20010402,A004460,관리
625,20020415,A004460,
626,19991228,A004480,
627,19991228,A004490,
628,19991228,A004510,
629,20031002,A004510,관리
630,20040429,A004510,
631,19991228,A004520,
632,19991228,A004530,
633,20000104,A004530,관리
634,20020805,A004530,
635,20070816,A004530,관리
636,20080422,A004530,
637,19991228,A004540,
638,19991228,A004550,
639,20110801,A004550,관리
640,20120622,A004550,
641,19991228,A004560,
642,20000104,A004560,관리
643,20010329,A004560,
644,19991228,A004590,
645,20190417,A004590,관리
646,20190507,A004590,
647,19991228,A004600,
648,19991228,A004620,
649,19991228,A004650,
650,19991228,A004660,
651,20010402,A004660,관리
652,20040924,A004660,
653,20041011,A004660,관리
654,20050331,A004660,
655,19991228,A004690,
656,19991228,A004700,
657,19991228,A004710,
658,19991228,A004720,
659,19991228,A004730,
660,20000104,A004730,관리
661,20000131,A004730,
662,19991228,A004740,
663,20000104,A004740,관리
664,20011105,A004740,
665,20130530,A004740,관리
666,20140513,A004740,
667,20160331,A004740,관리
668,20160411,A004740,
669,20170307,A004740,관리
670,20170705,A004740,
671,19991228,A004750,
672,19991228,A004770,
673,19991228,A004780,
674,20080416,A004780,관리
675,20080526,A004780,
676,19991228,A004790,
677,20130322,A004790,관리
678,20140304,A004790,
679,19991228,A004800,
680,19991228,A004820,
681,20000104,A004820,관리
682,20021206,A004820,
683,20080401,A004820,관리
684,20090401,A004820,
685,20100114,A004820,관리
686,20100415,A004820,
687,19991228,A004830,
688,19991228,A004840,
689,20020102,A004840,관리
690,20020703,A004840,
691,19991228,A004870,
692,20000104,A004870,관리
693,20020313,A004870,
694,20020315,A004870,관리
695,20020819,A004870,
696,20100401,A004870,관리
697,20110328,A004870,
698,19991228,A004890,
699,19991228,A004910,
700,19991228,A004920,
701,19991228,A004940,
702,19991228,A004960,
703,20000104,A004960,관리
704,20030304,A004960,
705,19991228,A004970,
706,19991228,A004980,
707,19991228,A004990,
708,19991228,A005000,
709,19991228,A005010,
710,20000104,A005010,관리
711,20010730,A005010,
712,19991228,A005020,
713,19991228,A005030,
714,19991228,A005040,
715,19991228,A005060,
716,20010402,A005060,관리
717,20020422,A005060,
718,19991228,A005070,
719,19991228,A005090,
720,20000104,A005090,관리
721,20030701,A005090,
722,20180330,A005090,관리
723,20190320,A005090,
724,19991228,A005100,
725,19991228,A005110,
726,20020503,A005110,관리
727,20020506,A005110,
728,19991228,A005160,
729,19991228,A005180,
730,19991228,A005190,
731,19991228,A005250,
732,19991228,A005270,
733,19991228,A005280,
734,19991228,A005290,
735,19991228,A005300,
736,19991228,A005320,
737,19991228,A005330,
738,20000104,A005330,관리
739,20040812,A005330,
740,19991228,A005350,
741,20100506,A005350,관리
742,20100603,A005350,
743,20110314,A005350,관리
744,20110415,A005350,
745,19991228,A005360,
746,19991228,A005380,
747,19991228,A005390,
748,20000104,A005390,관리
749,20021213,A005390,
750,19991228,A005410,
751,20000104,A005410,관리
752,20000914,A005410,
753,19991228,A005420,
754,20000104,A005420,관리
755,20030626,A005420,
756,19991228,A005430,
757,19991228,A005440,
758,19991228,A005450,
759,20000104,A005450,관리
760,20010611,A005450,
761,20190418,A005450,관리
762,20200630,A005450,
763,19991228,A005470,
764,19991228,A005490,
765,19991228,A005500,
766,19991228,A005510,
767,19991228,A005560,
768,20000104,A005560,관리
769,20030128,A005560,
770,20030204,A005560,관리
771,20030425,A005560,
772,19991228,A005580,
773,20000104,A005580,관리
774,20000630,A005580,
775,19991228,A005600,
776,20040120,A005600,관리
777,20050107,A005600,
778,19991228,A005610,
779,20000104,A005610,관리
780,20021126,A005610,
781,19991228,A005620,
782,19991228,A005650,
783,19991228,A005660,
784,19991228,A005670,
785,19991228,A005680,
786,19991228,A005690,
787,20020322,A005690,관리
788,20030401,A005690,
789,19991228,A005710,
790,19991228,A005720,
791,19991228,A005740,
792,20000104,A005740,관리
793,20030903,A005740,
794,19991228,A005750,
795,19991228,A005760,
796,20000104,A005760,관리
797,20011217,A005760,
798,20080130,A005760,관리
799,20090219,A005760,
800,19991228,A005770,
801,20020402,A005770,관리
802,20030417,A005770,
803,19991228,A005790,
804,20000104,A005790,관리
805,20000214,A005790,
806,19991228,A005800,
807,19991228,A005810,
808,19991228,A005820,
809,19991228,A005830,
810,19991228,A005850,
811,19991228,A005860,
812,19991228,A005870,
813,20010702,A005870,관리
814,20020514,A005870,
815,19991228,A005880,
816,20110126,A005880,관리
817,20131111,A005880,
818,19991228,A005890,
819,19991228,A005930,
820,19991228,A005940,
821,19991228,A005950,
822,19991228,A005960,
823,20150105,A005960,관리
824,20161028,A005960,
825,19991228,A005980,
826,20100629,A005980,관리
827,20120329,A005980,
828,20180816,A005980,관리
829,20181004,A005980,
830,19991228,A005990,
831,19991228,A006000,
832,19991228,A006040,
833,19991228,A006050,
834,19991228,A006060,
835,19991228,A006070,
836,20000104,A006070,관리
837,20011022,A006070,
838,20011024,A006070,관리
839,20030102,A006070,
840,20030107,A006070,관리
841,20030728,A006070,
